Dialogue,Mood,Sport,Glucose,Glucose_binary,Insulin,Insulin_dose,Bad_food,Remedies_low_glucose_level,Remedies_high_glucose_level,Glucose_checks,Symptoms_low_blood_sugar,Symptoms_high_blood_sugar,Risk_situation,Good_food
"Good morning. Hello! How are you? I don't feel well, I have chest pain. Have you eaten? No, I'm still fasting. This is a risk situation of a glucose spike. You should eat something and it will improve. Okay, thank you. I have to go now. Ok, have a nice day.",I don't feel great,,a glucose spike,high,,,,,You should eat something and it will improve,,,I have chest pain,I am still fasting,
"<SOS> how is your day going? not bad and yours? also fine, but somehow I don't feel very well. oh i m sorry. why is that? because no matter how much water I drink I still feel thirsty. that's a common symptom of high blood sugar levels. did you check it? no I didn't check it. I actually drank a beer an hour ago this could affect my glucose? yes, that beer is definitely the cause of your thirst. but you should check your glucose. ok I checked it and I was pretty high at 320. I'll put some quick action insulin to be good again. yes, but measure your insulin dose carefully or you can get blood glucose. I've injected 7 units of insulin. I hope that the thirst will disappear soon. I'm sure it will. think about it the next time you drink a beer. sure I'll thank you for your help. You can welcome me again you can contact me at any time you feel like this. see <SOS>",,,i was at 320 quite high .,high,,i m gonna put some fast action insulin to be good again . yes but measure your insulin dose carefully or you may get down on blood glucose . i have injected 7 units of insulin .,i actually drank a beer one hour ago could this be affecting my glucose ? yes that beer is definitely the cause for your thirst .,,,,,because no matter how much water i drink i still feel thirsty . that is a common symptom of having a high blood glucose level .,that beer is definitely the cause for your thirst,
"How do you feel? I'm good, thank you. How are your glucose levels? My blood sugar is fine. Great! How do you control it? I started some exercise. I'm going 1 km a day. Oh, that's great. You should try to go a little more every day. Ok, I'll be. I have to go. Have a nice day.",I am good,walk 1 km per day,My blood sugar is okay,okay,,,,,,,,,,
"Hello. Hi. How are you? I'm sad. Why is that? I just started a new job. I was left, but now I have a lack of motivation. Oh. The stress of a new job could affect your glucose levels. I didn't know. Check it now. You're right, my glucose is low. That can explain the lack of motivation. Try to drink a soda and add a few carbohydrates to your diet if the values don't improve. Ok, thank you for your advice. No problem. I have to go, I was nice to talk to you. Have a nice day!",I am sad,,is low,low,,,,drink a soda and add some more carbohydrates to your diet,,,i have a lack of motivation,,The stress of a new job could impact in your glucose levels,
"Hey! How have you been? I've been stressed lately. Why? I had my final exams and it was stressful. Yes! I can imagine that. How do you have your glucose levels? They're a little low. Do you have any symptoms? Yes, I have dizziness. What should I do? You should take some carbohydrates, such as bread, pasta or rice. Ok, I'll eat some pasta. Thanks. At any time. Talk later.",i've been stressed lately,,they are a little low,low,,,,"take some carbohydrates, as bread, pasta or rice",,,i have dizziness,,,
"Hello, how do you feel today? I haven't been better. How is your blood sugar? You're all right. What are you going to do today? I'm going to go play a paddle game. Oh great, I hope you'll win. Thank you. Doing exercise improves your glucose levels? Yes, it helps control my blood sugar. That's great! Yes, talk later.",i haven't been better.,play a paddle match,They are alright,alright,,,,,Doing exercise,,,,,
"Hello, I don't feel good. What happens to you? I have blurred vision. I'm new to the diabetic group. Don't worry. Have you checked your glucose levels? Maybe you're a little low. Ok, I just checked and I'm low. What should I do? Try to eat something sweet like a biscuit or a small piece of cake. Ok, I'll. Thanks for your advice. I'm here for you. Thank you.",i don't feel well,,i am low,low,,,,try eating something sweet as a biscuit or a little piece of cake,,,i have blurred vision,,,
"Hello. Hey! How have you been? Not in my best mood, I'm sad. Oh... can I ask why? Yes, my cat died last week. I regret. Thank you. It influenced my glucose levels, I'm low since then. Did you have any symptoms? I had cold sweat. I'm sad to hear. Have you tried to change your diet? No. Maybe you need to add some carbohydrates as pasta or rice. You could even eat a homemade pizza. Ok! I'll try it. Thank you. You're welcome.","not in my best mood, i am sad",,i am low,low,,,,need to add some carbohydrates as pasta or rice. Even eat a homemade pizza,,,i had cold sweat,,,
"Good morning. Hey, how are you? I don't feel well. I have chest pain. Oh! What did you eat last night? I had a sandwich and a salad. Oh, that's a good dinner. Have you checked your glucose levels? Yes, I'm a little high. I'm always high in the morning. Try to eat some slow-absorbing foods for dinner. Maybe some brown rice or vegetables as spinach or green beans. Ok. Now I'll go for a walk. Yes, it will be good. Thanks.",I don't feel great,,I am a little high,high,,,,,eat some slow-absorbing foods for dinner . Maybe some brown rice or vegetables as spinachs or green beans,,,I have chest pain,morning,"sandwich and a salad , brown rice or vegetables as spinachs or green beans"
"Hello, I need to talk to you. What's the matter? I'm exhausted. I can't even get up. Have you checked your glucose levels? Yes, I'm very high. Try to administer more insulin next time. Ok. Thank you. And also take into account the amount of carbohydrates and sugar you've eaten. I'll. Thank you for your advice.",I am exhausted,,I am very high,high,,take into account the amount of carbohydrates and sugars you have eate,,,administrate more insulin next time and  take into account the amount of carbohydrates and sugars you have eate,,,I am exhausted . I can't even stand up,,
"You see. <SOS> I have amazing news to tell you. You seem very excited. What's the thing? I'm going to get married next Sunday congratulations are you ready for the day? yes, but I feel very nervous because I'm still preparing things for the wedding. I think the wedding will be great, so you should think it over. yes, but it's inevitable. I think it's also affecting my glucose levels. have you noticed an increase in your glucose levels lately? exactly. then let's hope everything works well. Thank you. talk to <EOS> <EOS>.",,,rise in your glucose levels lately ? exactly ,high,,,,,,,,,,
"<SOS> how are you? i m fine and you? also fine. what are you doing? i just cooked my dinner. what did you cook for dinner? i grilled chicken breast and also cooked some rice. that sounds good, but do you know that rice has a lot of carbohydrates? yes i do so that I inject a higher dose of insulin. big, but don't forget to measure your blood sugar level an hour and a half after your insulin injection. i will measure it because the last time I did not do it and my glucose rose higher than I wanted. you need to be careful with some foods like potatoes rice or pasta. yes. i will now let my chicken cool if I wait more. okay enjoy your dinner. talk tomorrow. ok <EOS>.",,,i will measure it because last time i didn t do it and my glucose rose higher than i wanted .,high,,i will inject a higher than usual dose of insulin .,i grilled chicken breast and also cooked some rice . do you know that rice has a lot of carbohydrates ? you have to be careful with some food like potatoes rice or pasta . ,,,measure your blood glucose level one hour and a half after your insulin injection .,,,rice has a lot of carbohydrates,
"Hello, how do you feel today? I'm not okay. All day I had a metallic taste in my mouth. That's not okay. How are your glucose levels? I just checked them and I'm very high. Inject some quick effect insulin to lower your levels. Ok, I'll. I hope you'll feel better then.",I'm not okay ,,i am very high,high,,,,,Inject some fast action insulin to low your levels,,,metallic taste in the mouth,,
"Hello. How do you feel? I'm not okay. I've been for several hours without eating and now I feel general weakness. It could be a drop in your glucose levels. Have you checked your blood sugar? Yes, as you said, I'm very low. okay, so my recommendation is that you eat something as a piece of fruit or drink a juice and then check your glucose levels again. If they're not okay, you're afraid to ask your doctor. Okay, thank you for your advice. I have to go. Bye.",i am not okay,,i am very low,low,,,,eat something as a piece of fruit or drink a juice,,then check your glucose levels again,,,i've been several hours without eating,
"Hello. How do you feel? I'm okay, thank you for the question. How is your blood sugar? It's good. Everything under control. Oh, that's cool. How did you do it? I go twice a week and it seems to help control the disease. That's right, physical activity helps improve glucose levels. Yes, yours are right. I followed your advice and now I feel better. Cool. Keep going. Yes, have a nice day.",I am okay,walk twice a week,It is good,good,,,,,,,,,,
"Hey, how are you? I'm okay, but shake my hands. I can't write and I'm in school right now. Oh, I'm sorry to hear that... can you check your blood sugar? Yes, in the fermery they have the machine. Ok, tell me how you are. I'm pretty low. That's what I do though. Do you have something sweet? Yes, I have an orange juice. Drink it and you should feel better. Okay, thank you. No problem.",I am ok,,I am quite low,low,,,,drink an orange juice,,,my hands shake . I cannot write,,,
