Dialogue;Mood;Sport;Glucose;Glucose_binary;Insulin;Insulin_dose;Bad_food;Remedies_low_glucose_level;Remedies_high_glucose_level;Glucose_checks;Symptoms_low_blood_sugar;Symptoms_high_blood_sugar;Risk_situation;Good_food;All_together;;;;;;;;;;;
<SOS> how are you ? <SOS> i'm feeling great today . what did you do today ? i played a baskeball match this morning . how was it ? did you win ? yes and i scored 40 points . wow you did an amazing match did the sport affect your glucose ? yes my sugar level was low after lunch . did you inject too much insulin ? yes i didn t take into account the exercise . next time think about the exercise when you calculate the insulin dose . yes i will . <EOS> .;i'm feeling great today;play a baskeball match;sugar level was low after lunch;low; did you inject too much insulin ? yes i didn t take into account the exercise;next time think about the exercise when you calculate the insulin dose;;;;;;;inject too much insulin;;i'm feeling great today play a baskeball match sugar level was low after lunch  did you inject too much insulin ? yes i didn t take into account the exercise next time think about the exercise when you calculate the insulin dose     ;;;;;;;;;;;
<SOS> <SOS> how is it going ? great i had a very good blood glucose level today . that s nice keep it up having a good glucose level is great . thank you but it may rise this afternoon . why is that ? because i just ate a big sandwich now . and did you put your insulin ? yes but maybe it was not enough . then you should check your glucose in an hour and a half and correct the dose if necessary . thanks for your advice . no problem see <EOS> .;great;;very good blood glucose level today;good;did you put your insulin ? yes but maybe it was not enough ;then you should check your glucose in an hour and a half and correct the dose if necessary;it may rise this afternoon . why is that ? because i just ate a big sandwich now ;;;;;;ate a big sandwich;;great  very good blood glucose level today did you put your insulin ? yes but maybe it was not enough  then you should check your glucose in an hour and a half and correct the dose if necessary it may rise this afternoon . why is that ? because i just ate a big sandwich now     ;;;;;;;;;;;
till later . <SOS> i need your help . what s the matter ? i forgot to put my insulin after lunch and now i have a high sugar level . don t worry you can put your insulin now and it will reduce . how much insulin should i put ? calculate your insulin dose taking into account when did you eat and your actual sugar level . ok i will do that . you should also consider if you did some exercise today . no i was home all day . maybe you should do some exercise it will also help to reduce your blood sugar level . perfect i will go to do some running now . see you . <EOS> <EOS> .;;running;i have a high sugar level;high;i forgot to put my insulin after lunch;how much insulin should i put ? calculate your insulin dose taking into account when did you eat and your actual sugar level . ok i will do that . you should also consider if you did some exercise today;;;;;;;forgot to put my insulin;; running i have a high sugar level i forgot to put my insulin after lunch how much insulin should i put ? calculate your insulin dose taking into account when did you eat and your actual sugar level . ok i will do that . you should also consider if you did some exercise today     ;;;;;;;;;;;
<SOS> what are you going to do today ? i'm going to the mountain . be careful if you are going to walk a lot you may need to decrease your insulin dose . yes i will decrease my insulin dose and i will also eat some cookies before leaving . well done but it is possible that you need to check your glucose level during the day . ok but what should i do if my blood glucose level is low ? you should always have sugar in your bag in case your blood glucose drops . does it have to be sugar ? no you could also drink a juice with enough amount of carbohydrates . great that is all i need to know . enjoy your day on the mountain . i will <EOS>;; going to the mountain;;;;be careful if you are going to walk a lot you may need to decrease your insulin dose;;ok but what should i do if my blood glucose level is low ? you should always have sugar in your bag in case your blood glucose drops . does it have to be sugar ? no you could also drink a juice with enough amount of carbohydrates;;it is possible that you need to check your glucose level during the da;;;if you are going to walk a lot you may need to decrease your insulin dose;;  going to the mountain   be careful if you are going to walk a lot you may need to decrease your insulin dose  ok but what should i do if my blood glucose level is low ? you should always have sugar in your bag in case your blood glucose drops . does it have to be sugar ? no you could also drink a juice with enough amount of carbohydrates it is possible that you need to check your glucose level during the da  ;;;;;;;;;;;
<SOS> how are you ? i am feeling stressed lately . what is making you feel that way ? i have a very important exam today and i cannot fail . have you studied for the exam ? i was studying all this week for my exam and i think this affected my blood glucose . why do you say that ? i couldn t control my blood sugar level very good this week it was always high . did you change yor diet or insulin dose ? no i kept them the same as usual . the stress from the exam is probably causing this rise in your glucose level . will it improve after i finish my exam ? the glucose level will surely improve after you finish . i hope so . see you <EOS> .;i am feeling stressed lately;;i couldn t control my blood sugar level very good this week it was always high;high;;;;;;;;;the stress from the exam is probably causing this rise in your glucose level ;;i am feeling stressed lately  i couldn t control my blood sugar level very good this week it was always high       ;;;;;;;;;;;
see you . how are you feeling today ? <SOS> i am not feeling right . how come ? i think i got a virus and i have stomachache . did this affect your glucose levels ? yes i think so . my glucose is abnormally high since my stomach started hurting . this is normal you should rise your insulin doses until you get better . all right i hope this helps me to have a better glucose control . anyways it should improve after you heal from the stomachache . i hope i heal soon . i hope so too . <EOS> .; i am not feeling right .;;my glucose is abnormally high;high;;this is normal you should rise your insulin doses until you get better .;;;;;;;i got a virus and i have stomachache;; i am not feeling right .  my glucose is abnormally high  this is normal you should rise your insulin doses until you get better .     ;;;;;;;;;;;
<SOS> what did you do yesterday ? i spent the whole day chilling and i went to a fancy restaurant for dinner . nice what did you order ? i had a big steak with french fries and a cheesecake for dessert . sounds delicious . did you have to inject a big dose of insulin ? yes i injected 15 units of fast action insulin . i see the fries and the cheesecake have a lot of carbohydrates . i had a good level of blood glucose two hours after dinner but this morning i woke up quite high . what was your blood glucose level this morning ? 245 a bit higher than i would like . it s difficult to maintain always a good blood glucose level . are you gonna do something to improve it ? i m going for a walk in the park now . great enjoy your walk . you enjoy your day too <EOS> .;;walk;245 a bit higher than i would like .;high;;did you have to inject a big dose of insulin ? yes i injected 15 units of fast action insulin .; i had a big steak with french fries and a cheesecake for dessert . i see the fries and the cheesecake have a lot of carbohydrates . ;;;;;;fries and the cheesecake have a lot of carbohydrates;;walk 245 a bit higher than i would like .  did you have to inject a big dose of insulin ? yes i injected 15 units of fast action insulin .  i had a big steak with french fries and a cheesecake for dessert . i see the fries and the cheesecake have a lot of carbohydrates .;;;;;;;;;;;
<SOS> what s up ? i am very excited i have a date this afternoon . what are you gonna do ? we are going to do ice skating . that sounds great yes and after skating we will get some pizzas . hmmm i love pizza but remember pizza has a high amount of carbohydrates . i know but it shouldn t affect my sugar level that much because i will skate this afternoon . don t forget to measure your blood sugar level one hour and a half after dinner . i will just in case i have to correct my insulin dose or eat more carbohydrates . enjoy your date . thanks i will tell you how it ends . <EOS>;i am very excited ;ice skating;;;;;we will get some pizzas . remember pizza has a high amount of carbohydrates .;i will just in case i have to correct my insulin dose or eat more carbohydrates . ;;measure your blood sugar level one hour and a half after dinner .;;;pizza has a high amount of carbohydrates;;i am very excited  ice skating    we will get some pizzas . remember pizza has a high amount of carbohydrates . i will just in case i have to correct my insulin dose or eat more carbohydrates .  measure your blood sugar level one hour and a half after dinner .  ;;;;;;;;;;;
<SOS> <SOS> it s nice to see you here again . how are you ? i woke up low today . oh that s sad . did you eat some sugar to recover ? no i had an orange juice and now i am feeling fine . that s great . do you know why this happened ? i think i calculated my dinner insulin dose incorrectly . you can also try to calculate more precisely the carbohydrates amount in your dinner . yes i will try to eat more next time . i have to go i ll talk to <EOS> .;;;i woke up low today .;low;; i think i calculated my dinner insulin dose incorrectly . you can also try to calculate more precisely the carbohydrates amount in your dinner . ;;did you eat some sugar to recover ? no i had an orange juice and now i am feeling fine . ;;;;;calculated my dinner insulin dose incorrectly;;  i woke up low today .   i think i calculated my dinner insulin dose incorrectly . you can also try to calculate more precisely the carbohydrates amount in your dinner .   did you eat some sugar to recover ? no i had an orange juice and now i am feeling fine .    ;;;;;;;;;;;
see you . <SOS> i have amazing news to tell you . you seem very excited . what s the matter ? i am going to get married next sunday congratulations are you ready for the day ? yes but i feel very nervous because i still have things to prepare for the wedding . i think the wedding is gonna be great so you shouldn t overthink it . yes but it is inevitable . i think it is also affecting my glucose levels . have you noticed a rise in your glucose levels lately ? exactly . then let s hope everything works out great . thank you very much see you . talk to <EOS> <EOS> .;;;rise in your glucose levels lately ? exactly ;high;;;;;;;;;;;  rise in your glucose levels lately ? exactly        ;;;;;;;;;;;
<SOS> . <SOS> . what are you doing ? not much i am lying in the sofa watching a movie with some popcorn . that sounds like a great plan to me . well i wanted to go out with friends for dinner because i stayed the whole day at home . let me guess . your friends were not free today ? you got it right . and how was your glucose today ? a lack of exercise tends to increase the glucose levels . yes they were a bit high but i really wanted to have some popcorn . you should increase your insulin dose if you want to have a good glucose level . i am going to put insulin right now thanks for the advice . no problem i hope you enjoy the movie . thanks talk to you tomorrow . have a <EOS> ;;;they were a bit high;high;; you should increase your insulin dose if you want to have a good glucose level .; yes they were a bit high but i really wanted to have some popcorn .;;;;;;a lack of exercise tends to increase the glucose levels;;  they were a bit high   you should increase your insulin dose if you want to have a good glucose level .  yes they were a bit high but i really wanted to have some popcorn .    ;;;;;;;;;;;
<SOS> how are you doing ? fine but i could be doing better . how come ? did something happen ? every morning i wake up with my sugar a bit high even if i went to bed with a good sugar level . it could be related to the carbohydrates amount in your dinner . no i don t think so . i eat different food and inject my insulin dose accordingly but after four or five hours my sugar increases . did you change your insulin type or your lifestyle ? i had a leg injury and i ve stopped doing sport and in the past i used to do a lot . that could be the cause behind your rise in glucose . yes i suppose so . should i increase my insulin dose ? you probably should increase the dose but speak with your doctor first . thanks i will contact my doctor to solve this problem . great <EOS> .;fine but i could be doing better .;;my sugar a bit high;high;; i eat different food and inject my insulin dose accordingly but after four or five hours my sugar increases . you probably should increase the dose but speak with your doctor first .;it could be related to the carbohydrates amount in your dinner .;;;;;;i ve stopped doing sport and in the past;;fine but i could be doing better .  my sugar a bit high   i eat different food and inject my insulin dose accordingly but after four or five hours my sugar increases . you probably should increase the dose but speak with your doctor first . it could be related to the carbohydrates amount in your dinner .    ;;;;;;;;;;;
<SOS> are you awake ? yes i am . what s the matter ? i just woke up in the middle of the night and i cannot sleep again . did you check your glucose level ? i didn t think about that i will check it right now . okay i will wait here . my blood glucose level is 56 so i am a bit low . you should eat 5g of sugar or a fast acting glucose like a fruit juice . yes i will eat something now . how did you think about the glucose level ? when you wake up in the middle of the night and you cannot sleep even though you are tired is because your body is not ok . nice to know . next time i will check my glucose for sure . great but be careful . you may need to eat something else . yes i will also eat a banana . thanks . you re wellcome . <EOS> .;;;my blood glucose level is 56 so i am a bit low .;low;;;;you should eat 5g of sugar or a fast acting glucose like a fruit juice . i will also eat a banana .;;;;;;;my blood glucose level is 56 so i am a bit low .    you should eat 5g of sugar or a fast acting glucose like a fruit juice . i will also eat a banana .;;;;;;;;;;;
<SOS> . how was your afternoon ? what did you do ? oh my afternoon was amazing i went to a rock concert with my girlfriend . that is really cool . yes and we also had some beers during the concert . it was amazing . that sounds really good . yes but now my glucose level is a bit high . could this be related to the beers ? i am sure that is the cause . i also danced in the concert so i didn t put any insulin during the concert . seems that the exercise you did while dancing in the concert wasn t enough to lower your glucose level . no so now i have to inject some insulin . be careful . even if you have high glucose right now you still did some exercise and it could affect your glucose later . well thought i will decrease my insulin dose a little bit . okay but don t forget to check your glucose level one and a half hours after the insulin injection . don t worry i will . great to hear . have a <SOS> . you too <EOS> .;;danced;yes but now my glucose level is a bit high . ;high;i have to inject some insulin .;i also danced in the concert so i didn t put any insulin during the concert . well thought i will decrease my insulin dose a little bit .;could this be related to the beers ? i am sure that is the cause .;;; okay but don t forget to check your glucose level one and a half hours after the insulin injection .;;;beers;; danced yes but now my glucose level is a bit high .  i have to inject some insulin . i also danced in the concert so i didn t put any insulin during the concert . well thought i will decrease my insulin dose a little bit . could this be related to the beers ? i am sure that is the cause .   okay but don t forget to check your glucose level one and a half hours after the insulin injection .  ;;;;;;;;;;;
